Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
350, 96236, 5.55, 249.20, 9.38, 57.30
353, 96202, 6.25, 244.90, 9.37, 57.35
356, 96169, 6.25, 248.30, 9.34, 57.40
359, 96136, 6.25, 248.00, 9.34, 57.45
368, 96032, 5.60, 247.70, 9.29, 57.60
370, 96005, 5.45, 255.70, 9.29, 57.60
373, 95979, 4.80, 258.00, 9.28, 57.65
375, 95954, 5.10, 246.60, 9.28, 57.70
377, 95931, 5.10, 235.10, 9.28, 57.75
379, 95908, 4.95, 230.00, 9.30, 57.85
381, 95886, 5.35, 228.20, 9.28, 57.85
391, 95766, 6.20, 255.80, 9.15, 57.95
394, 95733, 6.00, 241.90, 9.08, 57.95
397, 95700, 5.25, 245.50, 9.02, 58.00
399, 95677, 5.20, 248.60, 8.98, 58.05
401, 95653, 6.00, 233.80, 8.97, 58.15
403, 95630, 5.90, 236.00, 8.96, 58.20
407, 95577, 7.50, 255.60, 8.93, 58.35
410, 95552, 7.85, 244.70, 8.93, 58.40
412, 95527, 6.70, 241.10, 8.90, 58.45
414, 95502, 6.70, 241.10, 8.85, 58.55
416, 95478, 6.05, 253.40, 8.82, 58.60
418, 95456, 6.80, 258.30, 8.78, 58.65
420, 95435, 7.05, 250.20, 8.75, 58.75
422, 95414, 6.80, 242.70, 8.74, 58.80
425, 95371, 6.60, 258.50, 8.67, 58.95
427, 95350, 6.35, 251.00, 8.62, 59.05
435, 95258, 5.95, 255.40, 8.52, 59.25
441, 95187, 5.25, 243.50, 8.49, 59.45
444, 95152, 7.45, 237.40, 8.48, 59.55
450, 95083, 8.70, 233.10, 8.44, 59.65
454, 95048, 9.25, 236.70, 8.39, 59.75
458, 94991, 9.60, 242.10, 8.31, 59.90
461, 94964, 9.10, 240.70, 8.28, 60.00
464, 94925, 9.85, 245.90, 8.24, 60.20
466, 94906, 9.25, 244.70, 8.23, 60.25
470, 94864, 9.25, 249.80, 8.12, 60.45
471, 94851, 8.95, 247.80, 8.09, 60.60
472, 94839, 9.65, 251.20, 8.08, 60.65
473, 94828, 9.30, 251.40, 8.05, 60.75
474, 94814, 8.70, 248.30, 8.01, 60.80
475, 94801, 9.35, 255.10, 7.98, 60.90
476, 94788, 9.30, 254.40, 7.96, 61.00
477, 94777, 9.15, 254.50, 7.95, 61.05
478, 94767, 9.95, 246.60, 7.96, 61.10
479, 94758, 9.40, 248.10, 7.95, 61.20
480, 94748, 8.95, 247.70, 7.93, 61.25
481, 94738, 10.00, 250.70, 7.92, 61.35
481, 94728, 9.15, 251.00, 7.90, 61.40
483, 94714, 8.40, 249.00, 7.89, 61.45
484, 94701, 10.00, 249.60, 7.86, 61.55
485, 94688, 9.70, 253.20, 7.83, 61.60
486, 94671, 9.35, 254.60, 7.81, 61.65
488, 94655, 9.90, 252.10, 7.79, 61.75
489, 94640, 8.80, 247.00, 7.79, 61.80
491, 94620, 9.10, 248.40, 7.78, 61.90
493, 94601, 9.85, 250.00, 7.76, 61.95
494, 94582, 8.80, 250.20, 7.76, 62.00
496, 94562, 8.85, 249.00, 7.75, 62.05
498, 94543, 10.00, 244.80, 7.75, 62.15
499, 94524, 10.00, 247.90, 7.73, 62.20
502, 94487, 9.00, 247.10, 7.73, 62.25
504, 94470, 9.65, 245.30, 7.70, 62.30
506, 94451, 9.80, 250.90, 7.69, 62.40
507, 94433, 9.70, 248.20, 7.68, 62.45
509, 94416, 9.20, 246.50, 7.67, 62.45
511, 94396, 8.15, 248.90, 7.68, 62.50
512, 94375, 9.05, 244.90, 7.67, 62.50
514, 94354, 10.35, 245.40, 7.65, 62.55
516, 94337, 9.40, 245.50, 7.63, 62.60
517, 94321, 8.55, 246.90, 7.61, 62.60
518, 94306, 9.10, 247.50, 7.61, 62.65
520, 94285, 9.70, 250.00, 7.59, 62.70
522, 94264, 8.60, 252.50, 7.56, 62.75
524, 94244, 8.70, 245.40, 7.55, 62.75
526, 94223, 9.15, 242.60, 7.55, 62.85
528, 94202, 7.85, 242.80, 7.54, 62.85
529, 94182, 7.85, 247.30, 7.52, 62.90
534, 94128, 8.75, 244.70, 7.48, 63.00
535, 94111, 9.05, 250.00, 7.47, 63.05
537, 94094, 9.05, 250.00, 7.46, 63.10
538, 94078, 8.90, 245.70, 7.45, 63.15
540, 94060, 9.55, 246.40, 7.42, 63.15
541, 94043, 9.55, 249.50, 7.39, 63.25
543, 94026, 10.00, 246.80, 7.37, 63.25
546, 93991, 9.75, 256.20, 7.34, 63.35
548, 93974, 10.05, 248.10, 7.34, 63.40
549, 93959, 10.10, 244.20, 7.32, 63.40
550, 93944, 9.65, 254.10, 7.32, 63.45
551, 93930, 10.20, 250.30, 7.32, 63.50
553, 93913, 10.60, 247.00, 7.31, 63.55
554, 93897, 10.30, 250.40, 7.29, 63.60
556, 93882, 9.95, 255.10, 7.27, 63.65
557, 93864, 10.20, 248.00, 7.25, 63.70
559, 93847, 9.65, 247.50, 7.23, 63.70
560, 93830, 9.85, 253.00, 7.21, 63.75
562, 93811, 10.65, 257.30, 7.21, 63.80
563, 93793, 10.50, 252.30, 7.19, 63.80
565, 93776, 9.85, 245.50, 7.16, 63.85
567, 93755, 10.40, 250.00, 7.14, 63.95
568, 93735, 10.55, 255.80, 7.11, 63.95
570, 93716, 10.85, 253.40, 7.10, 64.00
572, 93695, 10.85, 248.50, 7.09, 64.05
574, 93675, 9.90, 255.60, 7.06, 64.10
576, 93656, 10.05, 261.10, 7.05, 64.15
577, 93639, 10.35, 251.80, 7.05, 64.15
579, 93621, 10.75, 251.20, 7.06, 64.20
580, 93604, 10.40, 257.30, 7.05, 64.25
582, 93585, 10.00, 255.60, 7.04, 64.35
583, 93567, 10.50, 250.80, 7.04, 64.35
585, 93550, 10.30, 254.90, 7.02, 64.35
589, 93507, 10.30, 250.50, 6.98, 64.40
591, 93486, 10.55, 249.60, 6.95, 64.40
592, 93463, 10.55, 254.50, 6.93, 64.45
594, 93441, 9.80, 252.20, 6.91, 64.50
596, 93420, 10.40, 250.00, 6.89, 64.55
598, 93397, 10.90, 253.60, 6.88, 64.60
600, 93374, 10.05, 249.20, 6.87, 64.70
602, 93352, 9.55, 245.50, 6.87, 64.75
604, 93329, 10.25, 249.70, 6.86, 64.80
606, 93307, 10.60, 253.10, 6.83, 64.80
608, 93286, 9.85, 251.10, 6.80, 64.85
610, 93263, 10.10, 251.00, 6.78, 64.90
612, 93238, 10.90, 255.20, 6.76, 64.90
615, 93214, 9.50, 253.00, 6.75, 65.00
617, 93189, 9.85, 249.40, 6.74, 65.05
619, 93164, 10.45, 251.40, 6.71, 65.10
621, 93140, 9.50, 255.90, 6.72, 65.15
623, 93118, 8.80, 251.40, 6.72, 65.20
625, 93097, 10.55, 248.60, 6.70, 65.25
627, 93076, 10.95, 249.00, 6.70, 65.30
629, 93054, 9.75, 248.80, 6.66, 65.30
631, 93033, 8.85, 251.70, 6.66, 65.35
632, 93012, 10.30, 255.50, 6.65, 65.40
639, 92940, 10.40, 258.70, 6.59, 65.55
642, 92906, 10.10, 246.20, 6.56, 65.65
643, 92890, 10.50, 251.90, 6.53, 65.70
645, 92869, 11.35, 256.30, 6.52, 65.80
647, 92849, 10.10, 254.00, 6.50, 65.85
649, 92830, 9.95, 248.40, 6.49, 65.85
650, 92813, 11.25, 251.50, 6.49, 65.90
651, 92796, 10.90, 254.00, 6.46, 65.95
653, 92780, 9.45, 251.60, 6.44, 66.00
654, 92767, 10.15, 249.20, 6.41, 66.00
655, 92753, 10.75, 254.90, 6.38, 66.10
657, 92740, 10.15, 259.40, 6.36, 66.15
658, 92720, 10.40, 252.50, 6.35, 66.20
660, 92701, 10.90, 249.10, 6.35, 66.25
662, 92682, 10.25, 252.00, 6.33, 66.30
663, 92663, 10.65, 254.40, 6.30, 66.35
665, 92645, 11.00, 254.40, 6.27, 66.40
666, 92628, 10.25, 248.30, 6.24, 66.50
668, 92611, 10.05, 250.60, 6.22, 66.55
669, 92594, 10.90, 256.10, 6.21, 66.65
671, 92578, 10.60, 255.20, 6.20, 66.70
673, 92559, 10.35, 248.20, 6.21, 66.75
674, 92540, 9.45, 254.40, 6.19, 66.85
676, 92522, 10.00, 258.60, 6.17, 66.90
679, 92491, 10.70, 246.70, 6.15, 67.00
680, 92476, 9.70, 251.00, 6.13, 67.05
684, 92430, 10.05, 255.70, 6.07, 67.25
686, 92403, 10.55, 246.40, 6.06, 67.35
688, 92390, 10.05, 251.70, 6.04, 67.40
692, 92338, 10.25, 254.20, 6.00, 67.65
693, 92328, 9.85, 249.60, 5.99, 67.70
696, 92299, 10.55, 259.00, 5.96, 67.75
697, 92286, 9.25, 250.50, 5.96, 67.80
699, 92267, 10.20, 251.60, 5.94, 67.90
699, 92258, 9.25, 254.90, 5.97, 67.95
701, 92239, 9.80, 252.80, 5.93, 68.05
702, 92230, 9.80, 254.20, 5.90, 68.05
703, 92220, 8.95, 250.90, 5.89, 68.05
704, 92211, 8.95, 255.20, 5.88, 68.10
704, 92202, 9.35, 258.80, 5.87, 68.15
705, 92191, 9.95, 253.00, 5.86, 68.20
706, 92179, 10.25, 251.80, 5.85, 68.30
707, 92168, 8.80, 255.40, 5.85, 68.35
710, 92142, 10.65, 255.50, 5.85, 68.50
711, 92130, 9.20, 253.50, 5.83, 68.55
713, 92104, 9.90, 256.30, 5.82, 68.65
714, 92092, 9.70, 256.00, 5.82, 68.70
715, 92079, 9.60, 251.20, 5.81, 68.70
716, 92066, 9.95, 252.60, 5.81, 68.75
718, 92054, 9.25, 254.30, 5.78, 68.80
718, 92045, 8.70, 259.80, 5.79, 68.90
719, 92036, 9.95, 254.60, 5.78, 68.90
720, 92028, 10.15, 250.80, 5.79, 69.00
721, 92014, 9.10, 256.00, 5.79, 69.00
722, 92001, 9.15, 253.30, 5.78, 69.00
723, 91988, 10.05, 242.10, 5.76, 69.05
725, 91975, 10.25, 250.60, 5.74, 69.10
726, 91962, 10.05, 256.50, 5.74, 69.15
727, 91950, 8.95, 253.40, 5.73, 69.15
728, 91934, 8.65, 249.80, 5.73, 69.15
730, 91918, 9.70, 256.20, 5.73, 69.25
731, 91902, 9.50, 257.40, 5.72, 69.25
732, 91890, 8.85, 248.60, 5.71, 69.30
733, 91879, 8.75, 255.40, 5.72, 69.40
734, 91868, 9.30, 261.10, 5.70, 69.40
736, 91851, 8.65, 256.00, 5.67, 69.40
737, 91834, 8.50, 256.60, 5.64, 69.40
739, 91818, 9.60, 257.80, 5.63, 69.45
741, 91789, 8.55, 251.40, 5.61, 69.50
742, 91776, 9.85, 252.60, 5.62, 69.55
744, 91762, 9.70, 257.80, 5.62, 69.60
745, 91749, 9.40, 260.90, 5.62, 69.60
746, 91736, 10.25, 251.20, 5.62, 69.70
748, 91714, 9.25, 258.90, 5.58, 69.75
749, 91704, 9.15, 255.60, 5.58, 69.80
750, 91691, 9.90, 251.90, 5.58, 69.85
751, 91677, 10.00, 261.50, 5.55, 69.90
752, 91664, 9.40, 260.50, 5.52, 69.95
754, 91645, 9.80, 255.40, 5.47, 70.00
756, 91627, 9.80, 257.90, 5.47, 70.00
757, 91610, 8.80, 258.10, 5.46, 70.05
759, 91592, 9.70, 256.50, 5.44, 70.10
760, 91575, 10.50, 256.00, 5.45, 70.20
762, 91558, 9.60, 256.50, 5.46, 70.25
763, 91539, 8.15, 255.10, 5.44, 70.25
765, 91521, 10.20, 257.50, 5.43, 70.30
767, 91504, 10.50, 259.60, 5.40, 70.35
768, 91485, 10.55, 259.60, 5.39, 70.40
770, 91467, 9.00, 257.50, 5.35, 70.45
772, 91450, 10.00, 264.10, 5.33, 70.50
773, 91431, 10.25, 257.10, 5.32, 70.55
775, 91412, 9.70, 254.00, 5.30, 70.60
777, 91394, 9.10, 262.00, 5.29, 70.60
780, 91355, 10.80, 254.30, 5.29, 70.80
782, 91336, 9.95, 258.40, 5.27, 70.85
783, 91318, 9.05, 263.10, 5.26, 70.95
785, 91300, 9.95, 260.50, 5.26, 71.00
787, 91282, 10.55, 264.80, 5.26, 71.05
788, 91271, 9.05, 265.50, 5.26, 71.05
789, 91260, 8.70, 268.10, 5.25, 71.05
789, 91250, 9.55, 269.80, 5.22, 71.15
792, 91217, 8.85, 262.70, 5.15, 71.25
794, 91202, 9.10, 270.90, 5.11, 71.25
795, 91188, 8.55, 266.10, 5.09, 71.30
796, 91175, 8.05, 258.80, 5.09, 71.40
797, 91162, 8.05, 266.70, 5.07, 71.50
799, 91147, 8.45, 268.50, 5.03, 71.60
800, 91133, 8.65, 260.60, 5.01, 71.65
801, 91120, 8.80, 265.20, 4.99, 71.75
802, 91107, 9.10, 266.30, 4.98, 71.90
803, 91094, 9.55, 257.40, 4.98, 72.00
805, 91082, 9.05, 260.80, 4.96, 72.05
806, 91068, 9.60, 266.50, 4.95, 72.05
807, 91055, 9.65, 258.10, 4.95, 72.15
808, 91042, 9.25, 257.70, 4.94, 72.30
809, 91029, 8.75, 266.90, 4.95, 72.40
811, 91015, 9.35, 267.40, 4.94, 72.55
812, 91002, 9.35, 260.30, 4.92, 72.70
815, 90969, 9.00, 270.20, 4.86, 72.95
816, 90954, 8.95, 263.50, 4.85, 73.05
817, 90941, 9.00, 257.30, 4.85, 73.15
818, 90928, 9.10, 262.70, 4.85, 73.25
820, 90916, 8.95, 269.60, 4.84, 73.35
821, 90904, 9.30, 261.30, 4.83, 73.40
822, 90893, 9.35, 260.60, 4.81, 73.55
823, 90882, 8.70, 267.70, 4.78, 73.65
824, 90863, 8.70, 263.50, 4.75, 73.75
826, 90845, 9.25, 263.50, 4.72, 73.85
827, 90828, 9.25, 272.30, 4.70, 73.95
830, 90794, 9.25, 264.90, 4.67, 74.20
832, 90778, 8.50, 267.10, 4.66, 74.30
833, 90763, 8.60, 271.50, 4.65, 74.40
835, 90748, 10.05, 269.10, 4.66, 74.50
836, 90734, 9.30, 267.80, 4.65, 74.55
837, 90720, 8.75, 270.10, 4.63, 74.60
838, 90706, 9.25, 266.20, 4.61, 74.65
840, 90692, 9.90, 263.50, 4.61, 74.70
841, 90677, 10.05, 264.20, 4.59, 74.75
842, 90663, 9.50, 270.50, 4.58, 74.80
843, 90650, 9.45, 271.10, 4.56, 74.85
845, 90635, 10.55, 268.90, 4.55, 74.85
846, 90620, 10.30, 267.10, 4.54, 74.90
847, 90606, 9.20, 269.10, 4.51, 74.95
850, 90573, 10.40, 276.10, 4.51, 75.10
852, 90558, 9.95, 267.20, 4.50, 75.25
853, 90543, 8.90, 266.40, 4.49, 75.35
854, 90529, 9.80, 272.80, 4.48, 75.55
856, 90516, 10.00, 272.00, 4.46, 75.75
857, 90500, 9.55, 265.70, 4.45, 76.00
858, 90485, 9.80, 269.60, 4.44, 76.20
860, 90470, 9.70, 273.80, 4.43, 76.45
861, 90453, 9.50, 265.90, 4.42, 76.55
863, 90435, 9.30, 264.60, 4.40, 76.60
864, 90418, 9.05, 272.50, 4.39, 76.70
867, 90387, 10.65, 265.90, 4.39, 76.85
869, 90372, 9.65, 267.90, 4.38, 76.95
873, 90328, 10.15, 265.10, 4.34, 77.10
876, 90290, 10.00, 270.00, 4.29, 77.20
878, 90272, 9.85, 269.10, 4.27, 77.25
880, 90241, 9.60, 273.20, 4.23, 77.35
882, 90226, 9.80, 270.40, 4.22, 77.45
885, 90192, 9.80, 269.70, 4.20, 77.55
886, 90176, 10.15, 275.00, 4.19, 77.60
890, 90134, 10.05, 274.20, 4.16, 77.90
893, 90101, 10.35, 264.20, 4.12, 78.15
895, 90084, 10.10, 270.40, 4.11, 78.30
896, 90067, 10.10, 275.20, 4.10, 78.45
898, 90051, 10.15, 264.00, 4.08, 78.60
899, 90036, 9.95, 264.00, 4.07, 78.75
901, 90018, 9.50, 274.40, 4.08, 78.90
902, 90001, 10.00, 273.40, 4.09, 79.20
904, 89984, 10.30, 267.20, 4.10, 79.60
905, 89965, 9.35, 270.50, 4.12, 80.10
907, 89946, 9.70, 277.10, 4.15, 80.65
909, 89928, 10.70, 272.50, 4.18, 81.30
910, 89911, 9.90, 269.40, 4.21, 82.00
912, 89894, 8.80, 271.00, 4.24, 82.65
913, 89878, 10.10, 273.80, 4.28, 83.35
920, 89802, 9.95, 274.40, 4.65, 85.95
922, 89783, 9.80, 281.40, 4.78, 86.60
924, 89764, 9.60, 279.60, 4.88, 87.20
925, 89745, 10.35, 275.90, 5.02, 87.80
927, 89727, 9.95, 280.00, 5.16, 88.40
929, 89710, 9.20, 283.30, 5.28, 88.95
932, 89669, 10.35, 276.00, 5.48, 90.05
934, 89650, 8.85, 277.10, 5.58, 90.50
936, 89632, 8.90, 280.10, 5.67, 90.90
937, 89615, 10.30, 283.00, 5.74, 91.25
939, 89598, 10.05, 278.80, 5.81, 91.60
941, 89580, 8.65, 276.00, 5.88, 91.95
942, 89563, 8.85, 283.20, 5.94, 92.25
944, 89546, 10.60, 284.30, 5.99, 92.55
945, 89529, 9.80, 279.90, 6.02, 92.75
947, 89511, 8.35, 287.30, 6.06, 92.95
949, 89494, 9.45, 295.50, 6.09, 93.10
951, 89471, 9.85, 290.30, 6.16, 93.35
953, 89449, 9.65, 285.70, 6.23, 93.50
955, 89428, 9.45, 291.00, 6.32, 93.65
957, 89402, 8.80, 298.70, 6.38, 93.85
959, 89377, 9.80, 294.40, 6.48, 94.00
962, 89352, 10.30, 291.20, 6.58, 94.20
964, 89325, 8.90, 292.90, 6.65, 94.30
967, 89298, 9.50, 298.80, 6.68, 94.50
969, 89272, 10.10, 295.10, 6.68, 94.55
977, 89182, 9.85, 299.00, 6.81, 94.80
980, 89155, 9.60, 297.20, 6.86, 94.90
982, 89128, 10.30, 296.30, 6.88, 95.00
985, 89102, 10.70, 296.20, 6.92, 95.00
989, 89057, 10.40, 303.50, 7.04, 95.20
991, 89036, 10.50, 303.60, 7.10, 95.25
993, 89013, 9.90, 297.60, 7.17, 95.25
995, 88988, 9.65, 301.50, 7.22, 95.35
998, 88964, 9.60, 305.90, 7.29, 95.40
1000, 88937, 9.50, 299.90, 7.33, 95.45
1002, 88910, 9.45, 301.80, 7.37, 95.45
1005, 88884, 9.30, 315.80, 7.44, 95.55
1007, 88861, 9.30, 318.20, 7.48, 95.60
1009, 88839, 8.95, 314.10, 7.48, 95.65
1011, 88818, 9.55, 315.70, 7.53, 95.65
1013, 88798, 10.90, 321.10, 7.59, 95.70
1015, 88779, 10.90, 322.60, 7.59, 95.70
1017, 88760, 9.40, 321.10, 7.60, 95.70
1018, 88745, 10.25, 319.20, 7.66, 95.70
1019, 88730, 11.25, 319.10, 7.77, 95.80
1021, 88716, 10.00, 319.00, 7.89, 95.80
1022, 88702, 9.45, 319.30, 7.98, 95.85
1023, 88689, 10.80, 321.80, 8.08, 95.95
1024, 88676, 11.15, 318.60, 8.15, 96.00
1026, 88661, 10.15, 317.00, 8.24, 96.05
1027, 88646, 9.95, 324.30, 8.26, 96.10
1028, 88632, 10.50, 321.00, 8.31, 96.15
1030, 88619, 10.20, 316.20, 8.37, 96.15
1031, 88606, 9.85, 321.00, 8.44, 96.15
1032, 88594, 10.60, 322.20, 8.47, 96.20
1035, 88564, 9.95, 319.50, 8.52, 96.20
1036, 88550, 9.90, 324.20, 8.54, 96.15
1037, 88537, 10.30, 317.40, 8.58, 96.15
1039, 88524, 11.10, 316.10, 8.59, 96.20
1040, 88512, 11.60, 324.90, 8.64, 96.15
1041, 88499, 11.30, 326.10, 8.64, 96.15
1042, 88486, 10.85, 319.80, 8.65, 96.15
1043, 88474, 11.60, 322.30, 8.65, 96.10
1045, 88457, 12.45, 320.80, 8.64, 96.05
1046, 88441, 10.65, 321.10, 8.64, 96.05
1048, 88426, 9.80, 316.00, 8.64, 96.05
1049, 88413, 11.95, 322.20, 8.67, 96.00
1050, 88400, 12.50, 322.80, 8.66, 95.95
1051, 88388, 10.55, 320.70, 8.65, 95.90
1053, 88372, 11.85, 319.90, 8.64, 95.90
1054, 88357, 11.70, 327.80, 8.64, 95.85
1056, 88342, 10.90, 321.30, 8.64, 95.80
1057, 88328, 10.10, 321.20, 8.66, 95.80
1058, 88313, 10.95, 328.40, 8.66, 95.75
1060, 88298, 11.80, 322.30, 8.65, 95.75
1061, 88281, 10.70, 318.30, 8.66, 95.75
1063, 88265, 10.40, 322.00, 8.66, 95.70
1064, 88250, 11.05, 327.30, 8.66, 95.70
1066, 88231, 10.30, 323.70, 8.67, 95.65
1068, 88213, 9.90, 319.80, 8.67, 95.60
1069, 88196, 11.35, 321.60, 8.69, 95.60
1074, 88152, 10.60, 322.40, 8.70, 95.50
1075, 88132, 11.70, 322.70, 8.69, 95.50
1077, 88113, 10.45, 327.80, 8.71, 95.50
1079, 88094, 10.55, 323.00, 8.70, 95.45
1085, 88031, 10.95, 325.60, 8.72, 95.40
1087, 88013, 11.00, 323.60, 8.71, 95.40
1088, 87996, 9.90, 324.10, 8.72, 95.35
1090, 87980, 10.40, 328.70, 8.71, 95.35
1091, 87965, 11.05, 325.00, 8.72, 95.30
1093, 87950, 10.85, 320.60, 8.72, 95.30
1094, 87935, 10.50, 324.10, 8.72, 95.25
1096, 87919, 11.10, 329.60, 8.71, 95.25
1097, 87904, 10.70, 328.10, 8.70, 95.25
1099, 87886, 10.30, 322.50, 8.69, 95.20
1100, 87869, 11.15, 323.10, 8.68, 95.20
1102, 87852, 10.90, 328.60, 8.71, 95.15
1103, 87836, 10.20, 330.20, 8.71, 95.10
1105, 87821, 11.00, 326.00, 8.71, 95.05
1106, 87806, 11.35, 325.10, 8.71, 95.05
1108, 87790, 10.05, 327.20, 8.72, 95.05
1109, 87775, 10.85, 326.50, 8.71, 95.05
1111, 87760, 11.60, 326.20, 8.71, 95.00
1116, 87708, 11.35, 328.60, 8.71, 95.00
1120, 87658, 11.10, 328.50, 8.71, 94.95
1124, 87619, 10.30, 327.80, 8.72, 94.90
1126, 87600, 10.60, 327.70, 8.71, 94.90
1129, 87568, 11.15, 330.80, 8.73, 94.90
1130, 87552, 10.20, 332.40, 8.72, 94.85
1134, 87514, 10.85, 326.80, 8.71, 94.85
1136, 87496, 10.30, 332.60, 8.70, 94.80
1139, 87461, 10.90, 324.80, 8.69, 94.75
1141, 87444, 10.20, 330.70, 8.69, 94.70
1142, 87427, 10.40, 331.50, 8.67, 94.70
1144, 87411, 10.70, 326.90, 8.68, 94.70
1145, 87396, 9.55, 324.60, 8.68, 94.65
1147, 87378, 10.25, 330.00, 8.68, 94.65
1148, 87361, 11.55, 328.80, 8.68, 94.65
1150, 87344, 10.90, 327.90, 8.68, 94.60
1152, 87328, 10.05, 330.30, 8.68, 94.60
1153, 87313, 11.35, 328.40, 8.68, 94.55
1155, 87298, 11.35, 326.80, 8.66, 94.55
1158, 87263, 10.15, 332.70, 8.67, 94.55
1159, 87246, 11.00, 326.90, 8.67, 94.55
1161, 87230, 11.00, 329.00, 8.66, 94.55
1162, 87214, 10.50, 335.20, 8.65, 94.55
1164, 87198, 9.85, 328.70, 8.66, 94.50
1168, 87155, 11.20, 332.40, 8.70, 94.50
1170, 87134, 10.60, 332.60, 8.68, 94.50
1171, 87119, 9.80, 325.40, 8.67, 94.50
1173, 87105, 10.70, 326.20, 8.66, 94.50
1174, 87092, 11.35, 331.10, 8.67, 94.45
1181, 87015, 11.50, 331.30, 8.69, 94.35
1184, 86990, 10.05, 327.10, 8.70, 94.30
1186, 86966, 10.15, 329.90, 8.69, 94.30
1188, 86951, 11.65, 333.70, 8.69, 94.25
1189, 86936, 11.05, 328.50, 8.67, 94.25
1190, 86922, 10.00, 326.20, 8.65, 94.20
1192, 86903, 10.90, 332.40, 8.67, 94.20
1194, 86885, 11.25, 332.50, 8.65, 94.20
1196, 86868, 10.40, 327.50, 8.66, 94.20
1197, 86853, 10.60, 328.20, 8.67, 94.15
1198, 86837, 11.60, 329.90, 8.66, 94.15
1200, 86822, 10.70, 328.20, 8.66, 94.10
1203, 86787, 11.60, 327.70, 8.64, 94.00
1205, 86770, 11.55, 328.70, 8.63, 94.00
1205, 86767, 9.85, 326.90, 8.67, 93.85
